Title,Author,Date,Description,Link,Tags
Frontend Developer (Luzon-based only),Kazzelyn Donaire,"Dec 09, 2024","Job Summary: The Front-End Web Developer is responsible for merging design and programming to enhance user experiences. This role involves translating UI/UX wireframes into functional code, and collaborating with the UI/UX designer to bridge the gap between design and implementation.…",/jobseekers/job/Frontend-Developer-Luzon-based-only-1247319,"Email Marketing,Vue JS,Version Control"
Senior Full Stack Developer,Kazzelyn Donaire,"Dec 09, 2024",Job Title: Senior Full Stack Developer,/jobseekers/job/Senior-Full-Stack-Developer-1222767,"PHP,Wordpress,AWS"
"Full Stack Web Developer (Next.JS, Java)",Roel,"Dec 09, 2024","""Shape Your Future: Join DG Ventures Limited as a Web Developer and Thrive!""",/jobseekers/job/Full-Stack-Web-Developer-NextJS-Java-1257248,
Website Developer/designer,Adnan Dahhan,"Dec 09, 2024",Please read carefully and apply if you are capable of doing the following and you think you are a perfect fit:,/jobseekers/job/Website-Developerdesigner-1276881,"Graphic Design,Web Design & Page Layout,Web Development"
"Shopify API, Laravel, AWS developer",Mike,"Dec 09, 2024",,/jobseekers/job/Shopify-API-Laravel-AWS-developer-1271268,"Shopify,Laravel"
WooCommerce Product Importer / Website Developer,Tim,"Dec 09, 2024","We are seeking a skilled WooCommerce Product Importer and Website Developer to help us with importing product data, ensuring proper categorization, and enhancing our website's functionality and aesthetics.",/jobseekers/job/WooCommerce-Product-Importer-Website-Developer-1276815,"Wordpress,Woocommerce,Web Development"
"Retool Developer | Javascript Developer | Develop Internal Tools (JS,SQL)",Ronak,"Dec 09, 2024","Job Description: Full-time Retool/Low-Code Developer to work on low code platforms like retool.com (On-site, Range $800 – $1,300 per month)",/jobseekers/job/Retool-Developer-Javascript-Developer-Develop-Internal-Tools-JSSQL-1276799,"Javascript,PostgreSQL,Data analysis"
"Php 80,000 Permanent Work from Home - Senior Full-Stack Developer & Offshore Team Manager",Shielalyn Johnson,"Dec 09, 2024","We are seeking a highly skilled, jack-of-all trades Developer to join our amazing fast growing team; an experienced Senior Full-Stack Developer who excels in managing offshore development teams and driving complex projects to successful completion. The ideal candidate will have…",/jobseekers/job/Php-80000-Permanent-Work-from-Home-Senior-Full-Stack-Developer-Offshore-Team-Manager-1246673,"Fullstack,English Proficiency"
Wed and App Developer,Bree,"Dec 09, 2024","We are seeking a dynamic and ambitious Web and Mobile App Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining web and mobile applications that meet the needs of our clients and…",/jobseekers/job/Wed-and-App-Developer-1157156,"Technical Support,Mobile Development,English Speaking"
Backend Developer (AI API Integration),Sean Rutledge,"Dec 09, 2024","Job Title: Backend Developer (API & Automation Integrations - ""Tie it Together"" Role)",/jobseekers/job/Backend-Developer-AI-API-Integration-1276772,"React JS,Software,API Development"
